Name;Year;Rating;Rate;TotalRate;Link_Movie;Budget;Gross_Us;Opening_Week_Rev;Opening_Week_Date;Gross_World;Runtime;Color;Sound_Mix;Aspect_Ratio
The Shawshank Redemption;1994;R;9.3;2900000;https://www.imdb.com/title/tt0111161/?ref_=chttp_t_1;25000000;28767189;727327;25/09/1994 00:00;29322669;142;None;None;1.85 : 1
The Godfather;1972;R;9.2;2000000;https://www.imdb.com/title/tt0068646/?ref_=chttp_t_2;6000000;136381073;302393;19/03/1972 00:00;250342030;175;Color;None;1.85 : 1
The Dark Knight;2008;PG-13;9.0;2900000;https://www.imdb.com/title/tt0468569/?ref_=chttp_t_3;185000000;534987076;158411483;20/07/2008 00:00;1008497140;152;Color;None;2.39 : 1
The Godfather Part II;1974;R;9.0;1400000;https://www.imdb.com/title/tt0071562/?ref_=chttp_t_4;13000000;47834595;171417;10/11/2019 00:00;47962897;202;Color;None;1.85 : 1
12 Angry Men;1957;Approved;9.0;871000;https://www.imdb.com/title/tt0050083/?ref_=chttp_t_5;350000;0;0;01/01/1900 00:00;2667;96;Black and White;None;1.85 : 1
Schindler's List;1993;R;9.0;1500000;https://www.imdb.com/title/tt0108052/?ref_=chttp_t_6;22000000;96898818;656636;19/12/1993 00:00;322161245;195;Black and White Color;None;1.85 : 1
The Lord of the Rings: The Return of the King;2003;PG-13;9.0;2000000;https://www.imdb.com/title/tt0167260/?ref_=chttp_t_7;94000000;379427292;72629713;21/12/2003 00:00;1149002839;201;Color;None;2.39 : 1
Pulp Fiction;1994;R;8.9;2200000;https://www.imdb.com/title/tt0110912/?ref_=chttp_t_8;8000000;107928762;9311882;16/10/1994 00:00;213928762;154;Color;None;2.39 : 1
The Lord of the Rings: The Fellowship of the Ring;2001;PG-13;8.9;2000000;https://www.imdb.com/title/tt0120737/?ref_=chttp_t_9;93000000;318556695;47211490;23/12/2001 00:00;886482973;178;Color;None;2.39 : 1
The Good, the Bad and the Ugly;1966;R;8.8;815000;https://www.imdb.com/title/tt0060196/?ref_=chttp_t_10;1200000;25100000;0;01/01/1900 00:00;25259657;178;Color;None;2.35 : 1
Forrest Gump;1994;PG-13;8.8;2300000;https://www.imdb.com/title/tt0109830/?ref_=chttp_t_11;55000000;330455270;24450602;10/07/1994 00:00;678226465;142;Color Black and White;None;2.39 : 1
The Lord of the Rings: The Two Towers;2002;PG-13;8.8;1800000;https://www.imdb.com/title/tt0167261/?ref_=chttp_t_12;94000000;344867492;62007528;22/12/2002 00:00;950860470;179;Color;None;2.39 : 1
Fight Club;1999;R;8.8;2300000;https://www.imdb.com/title/tt0137523/?ref_=chttp_t_13;63000000;37030102;11035485;17/10/1999 00:00;101320107;139;Color;None;2.39 : 1
Inception;2010;PG-13;8.8;2600000;https://www.imdb.com/title/tt1375666/?ref_=chttp_t_14;160000000;292587330;62785337;18/07/2010 00:00;839030630;148;Color;None;2.39 : 1
Star Wars: Episode V - The Empire Strikes Back;1980;PG;8.7;1400000;https://www.imdb.com/title/tt0080684/?ref_=chttp_t_15;18000000;292753960;4910483;25/05/1980 00:00;538375067;124;None;None;0
The Matrix;1999;R;8.7;2100000;https://www.imdb.com/title/tt0133093/?ref_=chttp_t_16;63000000;172076928;27788331;04/04/1999 00:00;467625567;136;Color;None;2.39 : 1
Goodfellas;1990;R;8.7;1300000;https://www.imdb.com/title/tt0099685/?ref_=chttp_t_17;25000000;46909721;6368901;23/09/1990 00:00;47049784;145;Color;None;1.85 : 1
One Flew Over the Cuckoo's Nest;1975;R;8.7;1100000;https://www.imdb.com/title/tt0073486/?ref_=chttp_t_18;3000000;108981275;0;01/01/1900 00:00;109115366;133;Color;None;1.85 : 1
Se7en;1995;R;8.6;1800000;https://www.imdb.com/title/tt0114369/?ref_=chttp_t_19;33000000;100125643;13949807;24/09/1995 00:00;327333559;127;Color;None;2.39 : 1
Interstellar;2014;PG-13;8.7;2100000;https://www.imdb.com/title/tt0816692/?ref_=chttp_t_20;165000000;188020017;47510360;09/11/2014 00:00;747516808;169;Color;None;2.39 : 1
It's a Wonderful Life;1946;PG;8.6;501000;https://www.imdb.com/title/tt0038650/?ref_=chttp_t_21;3180000;1483643;44000;20/12/2020 00:00;9767242;130;None;None;0
Seven Samurai;1954;Not;8.6;368000;https://www.imdb.com/title/tt0047478/?ref_=chttp_t_22;125000000;318649;15942;28/07/2002 00:00;346258;207;Black and White;None;1.37 : 1
The Silence of the Lambs;1991;R;8.6;1600000;https://www.imdb.com/title/tt0102926/?ref_=chttp_t_23;19000000;130742922;13766814;18/02/1991 00:00;272742922;118;Color;None;1.85 : 1
Saving Private Ryan;1998;R;8.6;1500000;https://www.imdb.com/title/tt0120815/?ref_=chttp_t_24;70000000;217049603;30576104;26/07/1998 00:00;482351251;169;Color;None;1.85 : 1
City of God;2002;R;8.6;804000;https://www.imdb.com/title/tt0317248/?ref_=chttp_t_25;3300000;7564459;88292;19/01/2003 00:00;30680793;130;Color;None;1.85 : 1
Life Is Beautiful;1997;PG-13;8.6;746000;https://www.imdb.com/title/tt0118799/?ref_=chttp_t_26;20000000;57563264;118920;25/10/1998 00:00;230099013;116;Color;None;1.85 : 1
The Green Mile;1999;R;8.6;1400000;https://www.imdb.com/title/tt0120689/?ref_=chttp_t_27;60000000;136801374;18017152;12/12/1999 00:00;286801374;189;Color;None;1.85 : 1
Terminator Judgment Day;1991;R;8.6;1200000;https://www.imdb.com/title/tt0103064/?ref_=chttp_t_28;102000000;205881154;31765506;07/07/1991 00:00;520881154;137;None;None;0
Star Wars: Episode IV - A New Hope;1977;PG;8.6;1500000;https://www.imdb.com/title/tt0076759/?ref_=chttp_t_29;11000000;460998507;1554475;30/05/1977 00:00;775398507;121;None;None;0
Dune: Part Two;2024;PG-13;8.6;442000;https://www.imdb.com/title/tt15239678/?ref_=chttp_t_30;190000000;282144358;82505391;03/03/2024 00:00;711844358;166;None;None;0
Back to the Future;1985;PG;8.5;1300000;https://www.imdb.com/title/tt0088763/?ref_=chttp_t_31;19000000;214077472;11152500;07/07/1985 00:00;384577472;116;None;None;0
Spirited Away;2001;PG;8.6;855000;https://www.imdb.com/title/tt0245429/?ref_=chttp_t_32;19000000;15205725;449839;22/09/2002 00:00;357561772;125;Color;None;1.85 : 1
The Pianist;2002;R;8.5;918000;https://www.imdb.com/title/tt0253474/?ref_=chttp_t_33;35000000;32590750;111261;29/12/2002 00:00;120098945;150;Color;None;1.85 : 1
Parasite;2019;R;8.5;969000;https://www.imdb.com/title/tt6751668/?ref_=chttp_t_34;11400000;53369749;393216;13/10/2019 00:00;262099264;132;Color;None;2.39 : 1
Psycho;1960;R;8.5;722000;https://www.imdb.com/title/tt0054215/?ref_=chttp_t_35;806947;32000000;0;01/01/1900 00:00;32061457;109;Black and White;None;1.37 : 1(original & negative ratio
Gladiator;2000;R;8.5;1600000;https://www.imdb.com/title/tt0172495/?ref_=chttp_t_36;103000000;187705427;34819017;07/05/2000 00:00;465387186;155;Color;None;2.39 : 1
Spider-Man: Across the Spider-Verse;2023;PG;8.6;378000;https://www.imdb.com/title/tt9362722/?ref_=chttp_t_37;150000000;381593754;120663589;04/06/2023 00:00;690897910;140;None;None;0
The Lion King;1994;G;8.5;1100000;https://www.imdb.com/title/tt0110357/?ref_=chttp_t_38;45000000;422783777;1586753;19/06/1994 00:00;968750709;88;None;None;0
The Departed;2006;R;8.5;1400000;https://www.imdb.com/title/tt0407887/?ref_=chttp_t_39;90000000;132399394;26887467;08/10/2006 00:00;291481358;151;Color;None;2.39 : 1
L̩on: The Professional;1994;R;8.5;1300000;https://www.imdb.com/title/tt0110413/?ref_=chttp_t_40;115000000;19501238;5306558;20/11/1994 00:00;20275438;110;Color;None;2.39 : 1
American History X;1998;R;8.5;1200000;https://www.imdb.com/title/tt0120586/?ref_=chttp_t_41;20000000;6719864;156076;01/11/1998 00:00;23875714;119;Color;None;1.85 : 1
Whiplash;2014;R;8.5;998000;https://www.imdb.com/title/tt2582802/?ref_=chttp_t_42;3300000;13092000;135388;12/10/2014 00:00;49449489;106;Color;None;2.39 : 1
The Prestige;2006;PG-13;8.5;1400000;https://www.imdb.com/title/tt0482571/?ref_=chttp_t_43;40000000;53089891;14801808;22/10/2006 00:00;109676311;130;Color;None;2.39 : 1
Grave of the Fireflies;1988;Not;8.5;313000;https://www.imdb.com/title/tt0095327/?ref_=chttp_t_44;3700000;516962;158101;12/08/2018 00:00;519421;89;Color;None;1.85 : 1
Harakiri;1962;Not;8.6;70000;https://www.imdb.com/title/tt0056058/?ref_=chttp_t_45;0;0;0;01/01/1900 00:00;15222;133;Black and White;None;2.35 : 1
The Usual Suspects;1995;R;8.5;1100000;https://www.imdb.com/title/tt0114814/?ref_=chttp_t_46;6000000;23341568;645363;20/08/1995 00:00;23341568;106;None;None;0
Casablanca;1942;PG;8.5;608000;https://www.imdb.com/title/tt0034583/?ref_=chttp_t_47;950000;4219709;181494;12/04/1992 00:00;4661588;102;None;None;0
The Intouchables;2011;R;8.5;934000;https://www.imdb.com/title/tt1675434/?ref_=chttp_t_48;9500000;10198820;103507;27/05/2012 00:00;426590315;112;Color;None;1.85 : 1
Cinema Paradiso;1988;PG;8.5;284000;https://www.imdb.com/title/tt0095765/?ref_=chttp_t_49;5000000;12397210;16552;04/02/1990 00:00;13020497;174;Color;None;1.66 : 1
Modern Times;1936;G;8.5;261000;https://www.imdb.com/title/tt0027977/?ref_=chttp_t_50;1500000;163577;35809;28/12/2003 00:00;463618;87;Black and White;None;1.37 : 1
